SI.No.,States/UT,Persons in custody or on bail during the stage of investigation at the beginning of the year,Persons arrested during the year,Persons released or freed by police or magistrate before trial for want of evidence or any other reason,Persons in custody or on bail during the Stage of investigation at the end of the year,Persons in whose cases chargesheets were submitted during the year,Persons under trial at the beginning of the year,Total number of persons under trial during the year,Persons against whom cases were compounded or withdrawn,Persons in custody or on bail during the stage of trial at the end of the year,Persons in whose cases trials were completed during the year,Persons convicted,Persons acquitted
1,Andhra Pradesh,0,0,0,0,0,10,10,0,0,10,0,10
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,0,0,0,0,0,1,1,0,1,0,0,0
5,Goa,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,0,5,0,0,5,0,5,0,5,0,0,0
7,Haryana,0,0,0,0,0,0,0,0,0,0,0,0
8,Himachal Pradesh,0,0,0,0,0,2,2,0,2,0,0,0
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0
11,Kerala,0,0,0,0,0,0,0,0,0,0,0,0
12,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
13,Maharashtra,0,1,0,0,1,4,5,0,5,0,0,0
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,0,0,0,0,0,0,0,0,0,0,0,0
19,Punjab,0,0,0,0,0,0,0,0,0,0,0,0
20,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,5,2,3,2,2,0,2,2,0,0,0,0
25,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0
Total States,Total States,5,8,3,2,8,17,25,2,13,10,0,10
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,0,0,0,0,0,5,5,0,5,0,0,0
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),0,0,0,0,0,5,5,0,5,0,0,0
Total (All -India),Total (All -India),5,8,3,2,8,22,30,2,18,10,0,10
